0,0,18:25.379281
0,0,18:25.398890
0,0,18:25.418120
0,0,18:25.438007
0,0,18:25.457951
0,0,18:25.477878
8,0,18:25.497889
0,16,18:25.518005
0,0,18:25.538093
0,0,18:25.557891
0,0,18:25.577986
0,0,18:25.598005
0,0,18:25.617983
0,0,18:25.638057
0,0,18:25.658018
0,0,18:25.677982
0,0,18:25.697996
0,0,18:25.717982
0,0,18:25.738082
0,0,18:25.758025
0,0,18:25.777984
0,0,18:25.797997
0,0,18:25.818015
0,0,18:25.838178
0,0,18:25.858214
0,0,18:25.878299
0,0,18:25.898930
0,0,18:25.918211
0,0,18:25.939454
0,0,18:25.958046
0,0,18:25.977924
0,0,18:25.997981
0,0,18:26.017877
0,0,18:26.038721
0,0,18:26.057844
0,0,18:26.077911
0,0,18:26.098070
0,0,18:26.117986
0,0,18:26.139344
16,0,18:26.157981
8,0,18:26.178093
0,0,18:26.197972
0,0,18:26.217936
0,0,18:26.239002
0,0,18:26.257938
0,0,18:26.278050
0,0,18:26.298025
0,0,18:26.317985
0,0,18:26.339369
0,0,18:26.358186
0,0,18:26.378279
0,0,18:26.398304
0,0,18:26.418084
0,0,18:26.439053
0,0,18:26.458244
0,0,18:26.478105
0,0,18:26.497996
0,0,18:26.518036
0,0,18:26.538453
8,0,18:26.557979
0,0,18:26.577967
0,0,18:26.598022
0,0,18:26.617991
0,0,18:26.638145
0,0,18:26.658049
8,0,18:26.678018
0,0,18:26.697972
0,0,18:26.717933
0,16,18:26.738066
0,0,18:26.757968
0,0,18:26.778187
0,0,18:26.798012
0,0,18:26.818016
0,0,18:26.837998
0,0,18:26.863001
0,0,18:26.878156
0,0,18:26.898441
0,0,18:26.918019
0,0,18:26.938952
0,0,18:26.957971
0,8,18:26.977838
0,0,18:26.997977
0,0,18:27.017921
0,0,18:27.039014
0,16,18:27.063214
0,0,18:27.077953
0,0,18:27.098050
0,0,18:27.117951
0,0,18:27.138255
0,0,18:27.157938
0,0,18:27.177953
0,0,18:27.198012
0,0,18:27.218042
0,0,18:27.238068
0,0,18:27.258000
0,0,18:27.278062
0,0,18:27.298011
0,0,18:27.317984
0,0,18:27.338112
0,0,18:27.358167
0,0,18:27.378229
0,0,18:27.398352
0,0,18:27.418046
0,0,18:27.437985
0,0,18:27.457969
0,0,18:27.477992
0,0,18:27.497995
0,0,18:27.517989
0,0,18:27.538119
0,0,18:27.557988
0,8,18:27.577984
0,0,18:27.598029
0,0,18:27.617984
0,0,18:27.638004
0,0,18:27.658288
0,0,18:27.678170
0,0,18:27.698217
0,0,18:27.717937
0,0,18:27.738035
0,0,18:27.757943
0,0,18:27.777935
0,0,18:27.798224
0,0,18:27.818248
0,0,18:27.838562
0,0,18:27.858223
0,0,18:27.878266
0,0,18:27.898985
0,0,18:27.919919
0,0,18:27.938008
0,0,18:27.957901
0,0,18:27.977733
0,0,18:27.997785
0,0,18:28.017768
0,0,18:28.037827
0,0,18:28.057762
0,0,18:28.077711
0,0,18:28.097761
0,0,18:28.117711
0,0,18:28.137873
0,0,18:28.157728
0,0,18:28.177711
0,0,18:28.197730
0,0,18:28.217706
0,0,18:28.237882
0,0,18:28.257993
0,0,18:28.277881
0,0,18:28.297769
0,0,18:28.317711
0,0,18:28.337884
0,0,18:28.358060
0,0,18:28.377885
0,0,18:28.397921
8,0,18:28.417741
0,0,18:28.438176
0,0,18:28.457942
0,0,18:28.477775
0,0,18:28.497884
0,0,18:28.517720
0,16,18:28.537925
0,0,18:28.557714
16,0,18:28.577711
0,0,18:28.597752
0,0,18:28.618184
0,0,18:28.638257
16,0,18:28.657941
0,0,18:28.677925
0,0,18:28.697956
0,0,18:28.717965
0,0,18:28.738304
0,0,18:28.757933
0,0,18:28.777950
0,0,18:28.797967
0,0,18:28.818055
0,0,18:28.838796
16,0,18:28.858251
0,0,18:28.878714
16,0,18:28.898424
0,0,18:28.918214
0,0,18:28.938509
0,0,18:28.958025
0,0,18:28.978049
0,0,18:28.998060
0,0,18:29.018053
0,0,18:29.038270
0,8,18:29.057832
0,0,18:29.077837
0,0,18:29.097858
0,0,18:29.117871
0,0,18:29.138134
0,0,18:29.157999
0,0,18:29.177976
8,0,18:29.197989
0,0,18:29.217973
0,0,18:29.238184
0,0,18:29.257976
0,0,18:29.278010
0,0,18:29.297991
0,0,18:29.317994
0,8,18:29.338269
0,0,18:29.358164
0,0,18:29.378308
0,0,18:29.398806
0,0,18:29.418126
0,0,18:29.438002
0,0,18:29.458082
0,0,18:29.478039
0,0,18:29.497935
0,0,18:29.517843
0,0,18:29.538162
